Type of Customer (Wait to see where they go) ,Total Time on Property,Time spent in Queue,Time Spent At the Pump (0 if not at the pump at all),Time Spent in Store (0 if Not in the store),Time Entered,At Pump,Finish Pump,Leave,,Possible Customer Types,,
Pump Only,0:02:15,0:00:12,0:01:48,0:00:00,0:00:00,0:00:12,0:02:00,0:02:15,,Store Only,2,
Pump Only,0:02:02,0:00:07,0:01:47,0:00:00,0:00:08,0:00:15,0:02:02,0:02:10,,Pump Only,126,
Pump Only,0:02:43,0:00:35,0:02:03,0:00:00,0:00:32,0:01:07,0:03:10,0:03:15,,Store and Pump,45,
Pump Only,0:02:52,0:00:52,0:01:48,0:00:00,0:02:38,0:03:30,0:05:18,0:05:30,,,,
Pump Only,0:01:00,0:00:07,0:00:32,0:00:00,0:02:40,0:02:47,0:03:19,0:03:40,,,,
Pump Only,0:02:12,0:00:04,0:02:01,0:00:00,0:03:15,0:03:19,0:05:20,0:05:27,,,,
Store and Pump,0:06:14,0:00:18,0:05:08,0:05:04,0:03:26,0:03:44,0:08:52,0:09:40,,,,
Pump Only,0:04:17,0:00:10,0:03:52,0:00:00,0:03:30,0:03:40,0:07:32,0:07:47,,,,
Pump Only,0:02:40,0:00:12,0:02:28,0:00:00,0:04:26,0:04:38,0:07:06,0:07:06,,,,
Pump Only,0:01:34,0:00:14,0:01:05,0:00:00,0:04:26,0:04:40,0:05:45,0:06:00,,,,
Pump Only,0:06:02,0:00:14,0:05:33,0:00:00,0:04:26,0:04:40,0:10:13,0:10:28,,,,
Store and Pump,0:06:16,0:00:16,0:05:42,0:04:30,0:05:14,0:05:30,0:11:12,0:11:30,,,,
Pump Only,0:03:16,0:00:42,0:02:19,0:00:00,0:05:14,0:05:56,0:08:15,0:08:30,,,,
Pump Only,0:02:02,0:00:10,0:01:41,0:00:00,0:05:20,0:05:30,0:07:11,0:07:22,,,,
Store and Pump,0:03:45,0:00:09,0:03:28,0:01:50,0:05:45,0:05:54,0:09:22,0:09:30,,,,
Pump Only,0:01:55,0:00:10,0:01:30,0:00:00,0:05:50,0:06:00,0:07:30,0:07:45,,,,
Pump Only,0:03:29,0:00:56,0:02:20,0:00:00,0:06:14,0:07:10,0:09:30,0:09:43,,,,
Pump Only,0:03:27,0:00:56,0:02:15,0:00:00,0:06:19,0:07:15,0:09:30,0:09:46,,,,
Pump Only,0:03:20,0:00:40,0:02:31,0:00:00,0:07:00,0:07:40,0:10:11,0:10:20,,,,
Pump Only,0:03:19,0:00:09,0:02:54,0:00:00,0:07:13,0:07:22,0:10:16,0:10:32,,,,
Pump Only,0:03:29,0:00:15,0:03:00,0:00:00,0:07:31,0:07:46,0:10:46,0:11:00,,,,
Store and Pump,0:05:27,0:00:07,0:05:12,0:03:30,0:07:58,0:08:05,0:13:17,0:13:25,,,,
Pump Only,0:05:55,0:00:21,0:05:15,0:00:00,0:08:27,0:08:48,0:14:03,0:14:22,,,,
Pump Only,0:05:44,0:00:16,0:05:03,0:00:00,0:08:46,0:09:02,0:14:05,0:14:30,,,,
Pump Only,0:05:06,0:00:07,0:04:42,0:00:00,0:09:06,0:09:13,0:13:55,0:14:12,,,,
Pump Only,0:03:50,0:00:21,0:02:55,0:00:00,0:09:14,0:09:35,0:12:30,0:13:04,,,,
Pump Only,0:04:25,0:00:06,0:04:11,0:00:00,0:09:30,0:09:36,0:13:47,0:13:55,,,,
Pump Only,0:03:19,0:00:19,0:02:32,0:00:00,0:09:31,0:09:50,0:12:22,0:12:50,,,,
Pump Only,0:03:27,0:00:21,0:02:45,0:00:00,0:09:42,0:10:03,0:12:48,0:13:09,,,,
Store and Pump,0:06:43,0:00:14,0:06:09,0:00:00,0:09:50,0:10:04,0:16:13,0:16:33,,,,
Pump Only,0:02:11,0:00:07,0:01:51,0:00:00,0:10:21,0:10:28,0:12:19,0:12:32,,,,
Pump Only,0:04:39,0:00:17,0:04:04,0:00:00,0:10:43,0:11:00,0:15:04,0:15:22,,,,
Pump Only,0:02:38,0:00:08,0:02:21,0:00:00,0:10:52,0:11:00,0:13:21,0:13:30,,,,
Pump Only,0:05:07,0:01:34,0:03:09,0:00:00,0:10:53,0:12:27,0:15:36,0:16:00,,,,
Pump Only,0:06:22,0:03:11,0:03:04,0:00:00,0:11:07,0:14:18,0:17:22,0:17:29,,,,
Store Only,0:03:00,0:03:00,0:00:00,0:00:00,0:11:08,0:14:08,0:14:08,0:14:08,,,,
Pump Only,0:03:57,0:00:24,0:03:21,0:00:00,0:11:18,0:11:42,0:15:03,0:15:15,,,,
Pump Only,0:03:10,0:00:16,0:02:47,0:00:00,0:11:29,0:11:45,0:14:32,0:14:39,,,,
Pump Only,0:03:13,0:00:00,0:03:02,0:00:00,0:11:59,0:11:59,0:15:01,0:15:12,,,,
Pump Only,0:02:26,0:00:12,0:02:00,0:00:00,0:12:38,0:12:50,0:14:50,0:14:50,0:15:04,,,
Pump Only,0:02:55,0:00:16,0:02:29,0:00:00,0:12:50,0:13:06,0:15:35,0:15:35,0:15:45,,,
Pump Only,0:04:47,0:01:59,0:02:35,0:00:00,0:13:01,0:15:00,0:17:35,0:17:35,0:17:48,,,
Store and Pump,0:03:51,0:00:16,0:02:18,0:00:58,0:13:28,0:13:44,0:16:02,0:17:00,0:17:19,,,
Pump Only,0:03:43,0:00:50,0:02:23,0:00:00,0:13:57,0:14:47,0:17:10,0:17:10,0:17:40,,,
Pump Only,0:02:55,0:00:41,0:02:02,0:00:00,0:14:02,0:14:43,0:16:45,0:16:45,0:16:57,,,
Pump Only,0:02:54,0:00:14,0:02:26,0:00:00,0:14:49,0:15:03,0:17:29,0:17:29,0:17:43,,,
Store and Pump,0:04:03,0:00:10,0:02:23,0:01:20,0:15:40,0:15:50,0:18:13,0:19:33,0:19:43,,,
Pump Only,0:02:09,0:00:07,0:01:41,0:00:00,0:16:32,0:16:39,0:18:20,0:18:20,0:18:41,,,
Pump Only,0:03:31,0:00:31,0:02:51,0:00:00,0:16:48,0:17:19,0:20:10,20:10.0,0:20:19,,,
Pump Only,0:02:23,0:00:14,0:01:53,0:00:00,0:16:58,0:17:12,0:19:05,0:19:05,0:19:21,,,
Pump Only,0:03:37,0:00:17,0:02:22,0:00:45,0:17:21,0:17:38,0:20:00,0:20:45,0:20:58,,,
Store and Pump,0:04:58,0:00:49,0:02:29,0:01:30,0:17:27,0:18:16,0:20:45,0:22:15,0:22:25,,,
Store and Pump,0:05:09,0:00:42,0:02:23,0:01:52,0:17:38,0:18:20,0:20:43,0:22:35,0:22:47,,,
Pump Only,0:04:28,0:00:38,0:02:49,0:00:00,0:17:42,0:18:20,0:21:09,0:21:09,0:22:10,,,
Store and Pump,0:04:41,0:00:31,0:02:40,0:01:20,0:17:47,0:18:18,0:20:58,0:22:18,0:22:28,,,
Pump Only,0:04:31,0:02:00,0:02:22,0:00:00,0:18:08,0:20:08,0:22:30,0:22:30,0:22:39,,,
Pump Only,0:03:56,0:01:28,0:02:11,0:00:00,0:18:11,0:19:39,0:21:50,0:21:50,0:22:07,,,
Store and Pump,0:04:11,0:00:18,0:02:29,0:01:10,0:18:28,0:18:46,0:21:15,0:22:25,0:22:39,,,
Store and Pump,0:06:25,0:01:12,0:02:36,0:02:25,0:18:32,0:19:44,0:22:20,0:24:45,0:24:57,,,
Store Only,0:06:13,0:02:24,0:00:00,0:03:36,0:18:36,0:21:00,0:21:00,0:24:36,0:24:49,,,
Pump Only,0:05:31,0:02:19,0:02:57,0:00:00,0:18:41,0:21:00,0:23:57,0:23:57,0:24:12,,,
Store and Pump,0:06:48,0:03:24,0:02:17,0:00:58,0:19:28,0:22:52,0:25:09,0:26:07,0:26:16,,,
Store and Pump,0:03:01,0:00:17,0:01:03,0:01:24,0:20:07,0:20:24,0:21:27,0:22:51,0:23:08,,,
Store and Pump,0:07:10,0:01:04,0:02:53,0:02:45,0:20:13,0:21:17,0:24:10,0:26:55,0:27:23,,,
Pump Only,0:03:17,0:00:36,0:02:35,0:00:00,0:20:29,0:21:05,0:23:40,0:23:40,0:23:46,,,
Pump Only,0:03:15,0:01:02,0:01:43,0:00:00,0:20:40,0:21:42,0:23:25,0:23:25,0:23:55,,,
Pump Only,0:05:52,0:01:08,0:03:07,0:00:00,0:20:45,0:21:53,0:25:00,0:25:00,0:26:37,,,
Store and Pump,0:06:01,0:02:11,0:03:34,0:00:16,0:21:01,0:23:12,0:26:46,0:26:46,0:27:02,,,
Pump Only,0:05:00,0:01:35,0:03:13,0:00:00,0:21:10,0:22:45,0:25:58,0:25:58,0:26:10,,,
Store and Pump,0:06:50,0:02:31,0:02:24,0:01:42,0:21:21,0:23:52,0:26:16,0:27:58,0:28:11,,,
Store and Pump,0:07:00,0:03:56,0:01:32,0:00:58,0:22:19,0:26:15,0:27:47,0:28:45,0:29:19,,,
Pump Only,0:02:14,0:00:17,0:01:42,0:00:00,0:22:25,0:22:42,0:24:24,0:24:24,0:24:39,,,
Pump Only,0:06:04,0:02:08,0:03:29,0:00:00,0:22:51,0:24:59,0:28:28,0:28:28,0:28:55,,,
